title	full_name	birthplace	career_start	career_end	draft	draft_year	draft_team	current_league	national_team	current_team	nationality	date_of_birth	sex
Tony Esposito	Anthony James	Sault Ste. Marie, Ontario, Canada	1967	1984					CAN				
Tuomo Ruutu	Tuomo Iisakki Ruutu	Vantaa, Finland	1999	2017	9th overall	2001	Chicago Blackhawks		FIN		Finnish		
Jarkko Ruutu	Jarkko Samuli Ruutu	Vantaa, Finland	1996	2014	68th overall	1998	Vancouver Canucks		FIN		Finnish		
James Neal (ice hockey)	James Neal	Whitby, Ontario, Canada	2007	2022	33rd overall	2005	Dallas Stars		CAN		Canadian		
Tom Sestito	Tom Sestito	, New York	2007	2019	85th overall	2006	Columbus Blue Jackets	&lt;!--American Hockey League			American		
Wade Flaherty	Wade Flaherty	Terrace, British Columbia, Canada	1989	2009	181st overall	1988	Buffalo Sabres						
Maxime Talbot	Maxime Talbot	, Quebec	2005	2019	234th overall	2002	Pittsburgh Penguins		&lt;!--Senior caps only--&gt;		centre		
Valeri Kamensky	Valeri Viktorovich Kamensky	, Moscow Oblast	1982	2005	129th overall	1988	Quebec Nordiques	National Hockey League	URS		Russian		
Alexei Gusarov	Alexei Vasilievich Gusarov	Leningrad, Soviet Union	1981	2001	213th overall	1988	Quebec Nordiques	National Hockey League	URS		Russian		
Brandon Prust	Brandon Raymond James Prust	, Ontario	2005	2017	70th overall	2004	Calgary Flames				Canadian		
Mike Green (ice hockey, born 1985)	Michael David Green	Calgary, Canada	2005	2020	29th overall	2004	Washington Capitals				Canadian		
Archibald Stinchcombe	Archibald Stinchcombe												
Chris Holt (ice hockey)	Christopher Holt	Vancouver, Canada	2005	2016	180th overall	2003	New York Rangers		USA		Canadian		
Filip Cederqvist	Filip Cederqvist	Skara, Sweden	2018		143rd overall	2019	Buffalo Sabres	Swedish Hockey League	&lt;!-- Senior caps only --&gt;	Frölunda HC	Swedish		
Mikhail Shalagin	Mikhail Mikhailovich Shalagin	Moscow, Russia	2018		198th overall	2019	Tampa Bay Lightning	Belarusian Extraleague	&lt;!-- Senior games only --&gt;	HC Shakhtyor Soligorsk	Russian		
Valtteri Puustinen	Valtteri Puustinen	Kuopio, Finland	2018		203rd overall	2019	Pittsburgh Penguins	National Hockey League	FIN	Pittsburgh Penguins	Finnish		
Nikola Pasic (ice hockey)	Nikola Pasic	Gislaved, Sweden	2018		189th overall	2019	New Jersey Devils	Swedish Hockey League	&lt;!-- Senior caps only --&gt;	HV71	Swedish		
Adam Edström	Adam Edström	Karlstad, Sweden	2019		161st overall	2019	New York Rangers	National Hockey League		New York Rangers	Swedish		
Dmitri Voronkov	Dmitri Sergeiyevich Voronkov	Angarsk, Russia	2017		114th overall	2019	Columbus Blue Jackets	National Hockey League	Russia	Columbus Blue Jackets	Russian		
Leevi Aaltonen	Leevi Aaltonen	Mikkeli, Finland	2019		130th overall	2019	New York Rangers	Liiga		KooKoo (Liiga)	Finnish		
Henri Nikkanen	Henri Nikkanen	Mikkeli, Finland	2018		113th overall	2019	Winnipeg Jets	Liiga	&lt;!-- Senior caps only --&gt;	SaiPa	Finnish		
Kim Nousiainen	Kim Nousiainen	Kuopio, Finland	2018		119th overall	2019	Los Angeles Kings	Liiga	FIN	KooKoo (ice hockey)	Finnish		
Antti Saarela	Antti Saarela	Laitila, Finland	2018		123rd overall	2019	Chicago Blackhawks	Liiga	&lt;!-- Senior caps only --&gt;	Lukko	Finnish		
Daniil Misyul	Daniil Dmitrievich Misyul	Minsk, Belarus	2018		70th overall	2019	New Jersey Devils	Kontinental Hockey League	&lt;!-- Senior caps only --&gt;	Lokomotiv Yaroslavl	Belarusian		
Patrik Puistola	Patrik Puistola	Tampere, Finland	2018		73rd overall	2019	Carolina Hurricanes	Swedish Hockey League	FIN	Örebro HK	Finnish		
Ilya Konovalov (ice hockey)	Ilya Gennadievich Konovalov	Yaroslavl, Russia	2018		85th overall	2019	Edmonton Oilers	Kontinental Hockey League		Free agent	Russian		
Maxim Denezhkin	Maxim Alekseyevich Denezhkin	Yaroslavl, Russia	2018		193rd overall	2019	Edmonton Oilers	Kontinental Hockey League		Avtomobilist Yekaterinburg	Russian		
Kirill Slepets	Kirill Olegovich Slepets	Khabarovsk, Russia	2018		152nd overall	2019	Carolina Hurricanes	Kontinental Hockey League		Amur Khabarovsk	Russian		
Andrei Altybarmakyan	Andrei Ruslanovich Altybarmakyan	Saint Petersburg, Russia	2018		70th overall	2017	Chicago Blackhawks	Kontinental Hockey League		HC Lada Togliatti	Russian		
Arsen Khisamutdinov	Arsen Nagimovich Khisamutdinov	Ufa, Russia	2018		170th overall	2019	Montreal Canadiens	Kontinental Hockey League		HC Neftekhimik Nizhnekamsk	Russian		
Viktor Lodin	Viktor Lodin	Leksand, Sweden	2018		94th overall	2019	Ottawa Senators	Swedish Hockey League		Färjestad BK	Swedish		
Dan Bouchard	Daniel Hector Bouchard	Val-d'Or, Canada	1970	1987	27th overall	1970	Boston Bruins	National Hockey League	CAN		Winnipeg Jets		
Jimmy Carson	James Charles Carson	, Michigan	1986	1998	2nd overall	1986	Los Angeles Kings	National Hockey League	USA		American		
Drew Fata	Drew Richard Fata	Sault Ste. Marie, Ontario, Canada	2003	2014	86th overall	2001	Pittsburgh Penguins				Canadian		
Alexander Korolyuk	Alexander Ivanovich Korolyuk	Moscow, Russian Soviet Federative Socialist Republic	1993	2015	141st overall	1994	San Jose Sharks		RUS		Russian		
Dean Talafous	Dean Charles Talafous	Duluth, Minnesota, U.S.	1974	1981	53rd overall	1973	Atlanta Flames	National Hockey League	USA		American		
John Zeiler	John Zeiler	, Pennsylvania	2006	2015	132nd overall	2002	Phoenix Coyotes				American		
Jeff Finger	Jeffrey John Finger	Houghton, Michigan, U.S.	2003	2012	240th overall	1999	Colorado Avalanche				American		
Duncan Milroy	Duncan Alexander James Milroy	Edmonton, Canada	2003	2013	37th overall	2001	Montreal Canadiens						
Richard Hajdu	Richard Hajdu	, British Columbia	1985	1993	34th overall	1983	Buffalo Sabres		CAN		Canadian		
Dane Jackson (ice hockey)	Dane K. Jackson	Winnipeg, Manitoba, Canada	1992	2003	44th overall	1988	Vancouver Canucks				Canadian		
Darcy Loewen	Darcy Loewen	Calgary, Canada	1989	2001	55th overall	1988	Buffalo Sabres				Canadian		
Hannu Virta	[[SM-liiga]]	Turku, Finland	1981	1998	38th overall	1981	Buffalo Sabres		FIN				
Greg Classen	Gregory Dean &quot;Greg&quot; Classen	, Saskatchewan	2000	2020	Undrafted						German		
Stryker Zablocki	Stryker Zablocki	Prince Albert, Saskatchewan, Canada						NCAA Division I		Northeastern Huskies women's ice hockey	Canadian		f
Morgan Stickney (ice hockey)	Morgan Stickney	Manhattan Beach, California, U.S.						USHS		Shattuck-Saint Mary's	American		f
Rory Kerins	Rory Kerins	, Ontario	2021		174th overall	2020	Calgary Flames	National Hockey League		Calgary Flames	Canadian		
Andrei Nikolishin	[[NHL]]	Vorkuta, &lt;br&gt;Soviet Union	1990	2012	47th overall	1992	Hartford Whalers		RUS		Russian		
Cam Ward (ice hockey)	Cameron Kenneth Ward	Saskatoon, Canada	2004	2019	25th overall	2002	Carolina Hurricanes		CAN		Canadian		
Charlie Gardiner (ice hockey)	Charles Robert Gardiner	Edinburgh, Scotland	1927	1934									
Vitaly Vishnevskiy	Vitaly Viktorovich Vishnevskiy	Kharkiv, Ukrainian Soviet Socialist Republic	1998		5th overall	1998	Mighty Ducks of Anaheim		Russia		Russian		
Shaun Van Allen	Shaun Kelly Van Allen	Calgary, Canada	1987	2004	105th overall	1987	Edmonton Oilers	National Hockey League			Canadian		
Colton Orr	Colton Douglas Orr	Winnipeg, Canada	2003	2016	Undrafted						Canadian		
Stéphane Richer	Stéphane Joseph Jean-Jacques Richer	, Quebec	1984	2005	29th overall	1984	Montreal Canadiens				Canadian		
George Parros	George James Parros	Washington, Pennsylvania, U.S.	2005	2014	222nd overall	1999	Los Angeles Kings				American		
Alf Skinner	Alfred &quot;Dutch&quot; Skinner	, Toronto	1913	1930									
Dennis Maruk	Dennis John Maruk	Toronto, Canada	1975	1989	21st overall	1975	California Golden Seals		CAN		Canadian		
Kelly Miller (ice hockey, born 1963)	Kelly David Miller	Lansing, Michigan, United States	1985	2000	183rd overall	1982	New York Rangers		USA		American		
Larry Aurie	Lawrence Henry	, Greater Sudbury	1926	1944				National Hockey League					
František Kaberle	František &quot;Frank&quot; Kaberle	Kladno, Czechoslovakia	1991	2012	76th overall	1999	Los Angeles Kings		TCH		Czech		
Bernie Wolfe (ice hockey)	Bernard Ronald Wolfe	Montreal, Canada	1974	1979	Undrafted						Canadian		
Dean Evason	Dean Clement Evason	Flin Flon, Manitoba, Canada	1983	1999	89th overall	1982	Washington Capitals		CAN		Canadian		
Olle Alsing	Olle Alsing	Uppsala, Sweden	2014		Undrafted			Swedish Hockey League		HV71	Swedish		
Alexei Voronov	Alexei Voronov	Yekaterinburg, Russian Soviet Federative Socialist Republic	1994								Russian		
Conor Timmins	Conor Timmins	St. Catharines, Canada	2019		32nd overall	2017	Colorado Avalanche	National Hockey League		Buffalo Sabres	Canadian		
Rhett Gardner	Rhett Gardner	Moose Jaw, Saskatchewan, Canada	2018		116th overall	2016	Dallas Stars	Kontinental Hockey League		HC CSKA Moscow	Canadian		
Nick Caamano	Nicholas Caamano	Ancaster, Ontario, Canada	2017		146th overall	2016	Dallas Stars	Deutsche Eishockey Liga		Grizzlys Wolfsburg	Canadian		
Sam Lafferty	Sam Lafferty	Hollidaysburg, Pennsylvania, U.S.	2018		113th overall	2014	Pittsburgh Penguins	National Hockey League	USA	Chicago Blackhawks	American		
John Marino	John Marino	Easton, Massachusetts, U.S.	2019		154th overall	2015	Edmonton Oilers	National Hockey League		Utah Mammoth	American		
Oleg Tolmachev	Oleg Vasilyevich Tolmachev	Novosibirsk, Russian SFSR	1946	1956									
Roger Melin	Roger Melin	, {{flagicon	1972		''Undrafted''						Swedish		
Kevin Evans (ice hockey)	Kevin Robert Evans	, Ontario	1985	2000	''Undrafted''			National Hockey League			Canadian		
Ryan Kraft	Ryan Kraft	Bottineau, North Dakota, U.S.	1998	2010	194th overall	1995	San Jose Sharks		USA		American		
Hank Lammens	Hank Jacob Lammens	Brockville, Canada	1988	1994	160th overall	1985	New York Islanders		CAN		Canadian		
Ryan Lannon	Ryan Lannon	Grafton, Massachusetts, U.S.	2005		239th overall	2002	Pittsburgh Penguins	Finnish Elite League		Vaasan Sport	American		
Ryan Stone	Ryan Adam Stone	Calgary, Canada	2005	2012	32nd overall	2003	Pittsburgh Penguins				Canadian		
Steve Carlyle	Steve Carlyle	, Alberta	1972	1976	31st overall	1970	Montreal Canadiens						
Lou Jankowski	Louis Casimer Jankowski	Regina, Saskatchewan, Canada	1951	1969									
Peter Lappin	Peter John Lappin	St. Charles, Illinois, U S.	1987	1992	[[1987 NHL Supplemental Draft]]		Calgary Flames				American		
Jason Widmer	Jason Widmer	Calgary, Alberta, Canada	1993	2000	176th overall	1992	New York Islanders				Canadian		
Brian Swanson	Brian Swanson	, Eagle River (Anchorage)	1999	2012	115th overall	1994	San Jose Sharks		USA		American		
Marc Laniel	Marc Laniel	Oshawa, Canada	1987	2003	62nd overall	1986	New Jersey Devils						
Viktor Tikhonov (ice hockey, born 1988)	Viktor Vasilievich Tikhonov	Riga, Latvian Soviet Socialist Republic	2004	2022	28th overall	2008	Arizona Coyotes		RUS		Russian		
Mike Toal	Michael James Toal	Red Deer, Canada	1979	1982	105th overall	1979	Edmonton Oilers				Canadian		
Bert-Ola Nordlander	Bert-Ola Nordlander	Sundsvall, Sweden	1956	1972					SWE				
Georges Delolme	Georges Frédéric Delolme	London, England											
Mathias Olsson	Mathias Olsson	Tingsryd, Sweden	1993	2008	Undrafted						Swedish		
Shawn Hunwick	Shawn Richard Hunwick	Sterling Heights, Michigan, U.S.	2012	2013	''Undrafted''						American		
Jean-François Sauvé	Jean-François Sauvé	Sainte-Geneviève, Quebec, Canada	1980	1991	''Undrafted''						centre		
Ethan Cox	Ethan Cox	, British Columbia	2010		Undrafted			ECHL		Reading Royals	Canadian		
Matt Barnes (ice hockey)	Matt Barnes	Brantford, Canada	1999	2006	Undrafted						Canadian		
Yanni Gourde	Yanni Gourde	, Saint-Narcisse-de-Beaurivage	2008		Undrafted			National Hockey League		Tampa Bay Lightning	Canadian		
Kelly Zajac	Kelly Zajac	Winnipeg, Manitoba, Canada	2012	2018	Undrafted			American Hockey League			Canadian		
Scott Wilson (ice hockey)	Scott Wilson	Oakville, Ontario, Canada	2014		209th overall	2011	Pittsburgh Penguins	Kontinental Hockey League		HC Sibir Novosibirsk	Canadian		
Ryan Pulock	Ryan Pulock	Dauphin, Manitoba, Canada	2014		15th overall	2013	New York Islanders	National Hockey League	&lt;!--Senior caps only--&gt;	New York Islanders	Canadian		
Ty Rimmer	Tyler &quot;Ty&quot; Rimmer	Edmonton, Alberta, Canada	2013		Undrafted					Free Agent	Canadian		
Russell Bowie	Russell George Alexander	Montreal, Canada	1896	1908									
Michael Garnett	Michael Garnett	Saskatoon, Saskatchewan, Canada	2002	2019	80th overall	2001	Atlanta Thrashers		CAN		Canadian		
Brooks Orpik	Richard Brooks Orpik	San Francisco, U.S.	2001	2019	18th overall	2000	Pittsburgh Penguins&lt;ref name=draft&gt;{{cite web		USA		American		
Kirk Maltby	Kirk Frederick Maltby	Guelph, Canada	1992	2010	65th overall	1992	Edmonton Oilers		CAN		Canadian		
Nathan Horton	Nathan Russell Horton	Dunnville, Ontario, Canada	2003	2014	3rd overall	2003	Florida Panthers	National Hockey League			Canadian		
Garnet Exelby	John Garnet Exelby	, Saskatchewan	2001	2015	217th overall	1999	Atlanta Thrashers				Canadian		
Steve Ott	Steven Bradley Ott	, Prince Edward Island	2002	2017	25th overall	2000	Dallas Stars		CAN		Canadian		
Niklas Hagman	Niklas Hagman	Espoo, Finland	1997	2017	70th overall	1999	Florida Panthers		Finland		Finnish		
Scottie Upshall	Scott Upshall	Fort McMurray, Canada	2003	2020	6th overall	2002	Nashville Predators		CAN		Canadian		
Scott Clemmensen	Scott Lee Clemmensen	Des Moines, Iowa, U.S.	2000	2015	215th overall	1997	New Jersey Devils		USA		American		
Chad Kilger	Chad William Lawrence Kilger	, Ontario	1995	2008	4th overall	1995	Mighty Ducks of Anaheim				Canadian		
André Lacroix (ice hockey)	[[National Hockey League|NHL]]	, Quebec	1964	1980					CAN		Canadian		
Tyler Bouck	Tyler John Bouck	Camrose, Alberta, Canada	2000	2014	57th overall	1998	Dallas Stars	Deutsche Eishockey Liga			Canadian		
Ryan Getzlaf	Ryan Getzlaf	Regina, Saskatchewan, Canada	2005	2022	19th overall	2003	Anaheim Ducks		CAN		Canadian		
R. J. Umberger	Richard Alan	Pittsburgh, Pennsylvania, U.S.	2004	2016	16th overall	2001	Vancouver Canucks	National Hockey League	USA		American		
Mike Ricci (ice hockey)	Michael Ricci	Scarborough, Ontario, Canada	1990	2006	4th overall	1990	Philadelphia Flyers		Canada		Canadian		
Toni Lydman	Toni Petteri Lydman	Lahti, Finland	1996	2013	89th overall	1996	Calgary Flames		FIN		Finnish		
Luca Cunti	Luca Cunti	Zurich, Switzerland	2005		75th overall	2007	Tampa Bay Lightning	National League (ice hockey)	Switzerland	EHC Biel	Swiss		
Mikael Aaltonen	Mikael Aaltonen	Turku, Finland	2009	2014							Finnish		
Miika Huczkowski	Miika Huczkowski	Jyväskylä, Finland	2001	2012	Undrafted						Finnish		
Markus Palmroth	Markus Palmroth	Turku, Finland	2009		Undrafted			Liiga		HC TPS	Finnish		
Markus Nordlund	Markus Nordlund	Eurajoki, Finland	2005	2019									
Joonas Järvinen	Joonas Järvinen	Turku, Finland	2007		Undrafted				Finland	Free agent	Finnish		
Veli-Matti Vittasmäki	Veli-Matti Vittasmäki	Turku, Finland	2008					Liiga	FIN	Tappara	Finnish		
Garrett Raboin	Garrett Raboin	Detroit Lakes, Minnesota, U.S.											
Tommi Virtanen	Tommi Virtanen	Turku, Finland	2009	2016	Undrafted						Finnish		
Tuomas Suominen	Tuomas Suominen	Turku, Finland	2005		Undrafted			Liiga		HC TPS	Finnish		
Antti Erkinjuntti	Antti Erkinjuntti	Rovaniemi, Finland	2004							Free agent	Finnish		
Jarkko Hattunen	Jarkko Hattunen	Kajaani, Finland						SM-liiga		TPS (ice hockey)	Finnish		
Jussi Tapio	Jussi Tapio	Turku, Finland	2006	2018							Finnish		
Marko Virtala	Marko Virtala	Uusikaupunki, Finland	2006		Undrafted			Liiga		HC TPS	Finnish		
Marko Kivenmäki	Marko Kivenmäki	Turku, Finland	1996	2011	Undrafted						Finnish		
Sami Venäläinen	Sami Venäläinen	Kangasala, Finland	2000	2016	249th overall	2000	Phoenix Coyotes	Deutsche Eishockey Liga		Fischtown Pinguins	Finnish		
Mario Valery-Trabucco	Mario Valery-Trabucco	Caracas, Venezuela	2010		Undrafted			Oberliga (ice hockey)		Hannover Scorpions	Canadian		
Jussi Halme	Jussi Halme	, Finland	2005	2014							Finnish		
Jesse Turkulainen	Jesse Turkulainen	Stockholm, Sweden	2008					SM-liiga		Tappara	Finnish		
Jani Honkanen	Jani Honkanen	Espoo, Finland	1999		Undrafted			Kazakhstan Hockey Championship		Arystan Temirtau	Finnish		
Lasse Korhonen	Lasse Korhonen	Helsinki, Finland	2004	2013	Undrafted						Finnish		
Jani Nieminen	Jani Nieminen	Helsinki, Finland	2005					Deutsche Eishockey Liga		Fischtown Pinguins	Finnish		
David Appel (ice hockey)	David Appel	,						Slovak Extraliga		MHC Martin	Czech		
Timo Koskela	Timo Koskela	Tampere, Finland	1997	2013				National League B		GCK Lions	Finnish		
Joonas Koskinen	Joonas Koskinen	Ruovesi, Finland	2008		Undrafted			Mestis		Lempäälän Kisa	Finnish		
Joni Karjalainen	Joni Karjalainen	Helsinki, Finland	2010	2012	Undrafted						Finnish		
Tomi Pekkala	Tomi Pekkala	Rovaniemi, Finland	2008	2014				SM-liiga			Finnish		
Juuso Antonen	Juuso Antonen	Tampere, Finland	2006	2014							Finnish		
Samu Vilkman	Samu Vilkman	Hyvinkää, Finland	2004	2023	Undrafted						Finnish		
Jukka Peltola	Jukka Peltola	Tampere, Finland	2006					Liiga	FIN	Tappara	Finnish		
Nestori Lähde	Nestori Lähde	Nokia, Finland, Finland	2008					Liiga		Lukko	Finnish		
Tuomas Vänttinen	Tuomas Vänttinen	Savonlinna, Finland	2003	2019	Undrafted						Finnish		
Kim Strömberg	Kim Strömberg	Helsinki, Finland, Finland	2006					Liiga		SaiPa	Finnish		
Antti Kangasniemi	Antti Kangasniemi	Tampere, Finland	2005	2018	Undrafted						Finnish		
Jouni Virpiö	Jouni Virpiö	Jyväskylä, Finland	2004	2014	Undrafted						Finnish		
Rodrigo Ābols	Rodrigo Ābols	Riga, Latvia	2014		184th overall	2016	Vancouver Canucks	NHL	LVA	Philadelphia Flyers	Latvian		
Rickard Fagerlund	Rickard Fagerlund	Södertälje, Sweden	1956	1965				Division 1 (ice hockey)	Sweden				m
Curt Lundmark	Curt &quot;Curre&quot; Lundmark	Byske, Sweden	1961	1975				Division 1 (ice hockey)	Sweden		Swedish		m
Sune Bergman	Sune Bergman	Kramfors, Sweden	1975	1988				Division 1 (ice hockey)					m
Alex Lyon (ice hockey)	Alexander Augustus Lyon	Baudette, Minnesota, U.S.	2016		Undrafted			National Hockey League	USA	Buffalo Sabres	American		
Bengt Ohlson	Bengt Ohlson	,	1957	1970							Swedish		
Stuart Ostlund	Stuart Ostlund	Vancouver, Canada	1978	1981	122nd overall	1976	Vancouver Canucks				Canadian		
Draft:Bryce McConnell-Barker	Bryce McConnell-Barker										Canadian		
Morgan Samuelsson	Morgan Samuelsson	, Sweden	1983	2002	123rd overall	1986	Quebec Nordiques						M
Wayne Gowing	Wayne Gowing	, Ontario									Canadian		
Bill Flynn (ice hockey)	William Flynn	, Massachusetts	1972	1983	Undrafted						American		
Daryl MacLeod	Daryl MacLeod	, Boston	1981	1986	85th overall	1978	Boston Bruins				American		
Alfio Molina	Alfio Molina	Lugano, Switzerland, Switzerland	1964	1987				National League A	SUI				
Gérald Rigolet	Gérald Rigolet	Rechthalten, Switzerland	1964	1972					Switzerland				
Billy Coutu	Wilfrid Arthur Coutu	, Ontario	1911	1933									
Wylie Rogers	Wylie Rogers	, Alaska	2008		Undrafted			Central Hockey League		Rio Grande Valley Killer Bees (CHL)	American		
Guy Smith (ice hockey, born 1950)	Guy Smith	Ottawa, Canada	1972	1977							Canadian		
